Permit_Number,Status,Street_Number,Pre_direction,Street_Name,Street_Suffix,Post_Direction,City,State,Zip_code,Work_Type,Use_Code,Added_Date,Issue_Date,Final_Date,Description,Application_Type,Location
337048,Finaled,10800,,RED BARN,LN,,POTOMAC,MD,20854,DEMOLISH,SINGLE FAMILY DWELLING,3/12/2004,6/10/2004,10/14/2004,Cash Bond PS4A16193,DEMOLITION OR MOVE PERMIT,"10800 RED BARN LN
POTOMAC, MD 20854
(39.053981, -77.222833)"
522727,Finaled,4918,,ST. ELMO,AVE,,BETHESDA,MD,20814,DEMOLISH,BUSINESS BUILDING,10/5/2009,5/13/2011,1/23/2015,Demo Comm Build,DEMOLITION OR MOVE PERMIT,"4918 ST. ELMO AVE
BETHESDA, MD 20814
(38.988416, -77.097855)"
682592,Completed,17801,,MEETING HOUSE,RD,,SANDY SPRING,MD,20860,DEMOLISH,ASSEMBLY BUILDING,7/31/2014,5/11/2015,2/3/2016,Demo&nbsp; PS15A92315,DEMOLITION OR MOVE PERMIT,"17801 MEETING HOUSE RD
SANDY SPRING, MD 20860
(39.148337, -77.02564)"
492048,Completed,5705,,KINGSWOOD,RD,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,7/31/2008,9/15/2008,10/9/2008,Demo - BOND #PS9A39742,DEMOLITION OR MOVE PERMIT,"5705 KINGSWOOD RD
BETHESDA, MD 20814
(39.01792, -77.114339)"
411820,Completed,20900,W,OFFUTT,RD,,POOLESVILLE,MD,20837,DEMOLISH,SINGLE FAMILY DWELLING,2/14/2006,8/31/2006,7/23/2008,PERFORMANCE BOND TRACKING #33475,DEMOLITION OR MOVE PERMIT,"20900 OFFUTT W RD
POOLESVILLE, MD 20837
(39.113749, -77.434671)"
625092,Finaled,21830,,PEACH TREE,RD,,DICKERSON,MD,20842,DEMOLISH,STORAGE BUILDING,2/1/2013,3/19/2013,1/30/2014,DEMOLISH/REBUILD&nbsp;STORAGE BUILDING,DEMOLITION OR MOVE PERMIT,"21830 PEACH TREE RD
DICKERSON, MD 20842
(39.215355, -77.356767)"
555240,Completed,13404,,STONEBRIDGE,TER,,GERMANTOWN,MD,20874,DEMOLISH,SINGLE FAMILY DWELLING,11/23/2010,7/8/2011,8/18/2011,"Demo/rebuild (fire damaged, demo for foundation only thing left of house burned down)
PS11A44874",DEMOLITION OR MOVE PERMIT,"13404 STONEBRIDGE TER
GERMANTOWN, MD 20874
(39.145034, -77.282885)"
761202,Completed,2507,,GLENALLAN,AVE,,SILVER SPRING,MD,20906,DEMOLISH,MULTI-FAMILY DWELLING,6/23/2016,9/28/2016,11/9/2016,DEMO ENTIRE APARTMENT BUILDING,DEMOLITION OR MOVE PERMIT,"2507 GLENALLAN AVE
SILVER SPRING, MD 20906
(39.063938, -77.052195)"
904231,Completed,7109,,AMY,LN,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,2/4/2020,4/23/2020,5/13/2020,demolition/rebuild,DEMOLITION OR MOVE PERMIT,"7109 AMY LN
BETHESDA, MD 20817
(38.988403007, -77.14531904)"
457447,Finaled,4533,,FAIRFIELD,DR,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,6/21/2007,10/10/2007,5/5/2008,demolition/rebuild,DEMOLITION OR MOVE PERMIT,"4533 FAIRFIELD DR
BETHESDA, MD 20814
(38.995971, -77.091281)"
368566,Completed,6113,,GREENTREE,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,12/20/2004,3/8/2005,7/20/2005,CASH BOND PS5A21591,DEMOLITION OR MOVE PERMIT,"6113 GREENTREE RD
BETHESDA, MD 20817
(39.001271, -77.124706)"
390252,Completed,4420,,RIDGE,ST,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,7/11/2005,8/5/2005,11/1/2005,Demolition/Rebuild,DEMOLITION OR MOVE PERMIT,"4420 RIDGE ST
CHEVY CHASE, MD 20815
(38.977962, -77.088757)"
693715,Completed,5924,,BEECH,AVE,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,11/5/2014,3/26/2015,2/18/2016,"DEMO / REBUILD

BOND TRACKING - PS15A90691",DEMOLITION OR MOVE PERMIT,"5924 BEECH AVE
BETHESDA, MD 20817
(39.00657799, -77.120900963)"
868167,Completed,4820,,MOORLAND,LN,,BETHESDA,MD,20814,DEMOLISH,BUSINESS BUILDING,3/6/2019,5/20/2019,10/24/2019,,DEMOLITION OR MOVE PERMIT,"4820 MOORLAND LN
BETHESDA, MD 20814
(38.985886005, -77.098050973)"
852487,Finaled,7351,,WISCONSIN,AVE,,BETHESDA,MD,20814,DEMOLISH,BUSINESS BUILDING,9/19/2018,3/19/2019,7/23/2019,DEMO - COMMERCIAL - MIXED USE,DEMOLITION OR MOVE PERMIT,"7351 WISCONSIN AVE
BETHESDA, MD 20814
(38.983328, -77.093641)"
909310,Issued,5313,,BLACKISTONE,RD,,BETHESDA,MD,20816,DEMOLISH,SINGLE FAMILY DWELLING,3/25/2020,5/10/2021,,DEMO OF A SINGLE FAMILY HOME,DEMOLITION OR MOVE PERMIT,"5313 BLACKISTONE RD
BETHESDA, MD 20816
(38.949559, -77.107425)"
589585,Finaled,5313,,WEHAWKEN,RD,,BETHESDA,MD,20816,DEMOLISH,SINGLE FAMILY DWELLING,1/25/2012,2/22/2012,8/27/2013,"demolition only
PS12A46396",DEMOLITION OR MOVE PERMIT,"5313 WEHAWKEN RD
BETHESDA, MD 20816
(38.961309, -77.124054)"
740773,Completed,5007,,DEL RAY,AVE,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,1/4/2016,3/10/2016,5/23/2017,"Raze existing structure in prep for new house.

BOND TRACKING&nbsp; - PS16A102544",DEMOLITION OR MOVE PERMIT,"5007 DEL RAY AVE
BETHESDA, MD 20814
(38.98818, -77.101293)"
705056,Completed,8252,,GEORGIA,AVE,,SILVER SPRING,MD,20910,DEMOLISH,BUSINESS BUILDING,3/4/2015,11/12/2015,7/22/2016,,DEMOLITION OR MOVE PERMIT,"8252 GEORGIA AVE
SILVER SPRING, MD 20910
(38.993072, -77.026749)"
295345,Finaled,14731,,GOOD HOPE,RD,,SILVER SPRING,MD,20905,DEMOLISH,SINGLE FAMILY DWELLING,12/31/2002,7/17/2003,9/5/2003,"Applicant provided letter, wants to demolish house after new house is built.",DEMOLITION OR MOVE PERMIT,"14731 GOOD HOPE RD
SILVER SPRING, MD 20905
(39.097108, -76.985814)"
374814,Finaled,5710,,BEECH,AVE,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,2/25/2005,4/13/2005,4/21/2005,,DEMOLITION OR MOVE PERMIT,"5710 BEECH AVE
BETHESDA, MD 20817
(39.009262, -77.116282)"
729241,Completed,2801,,GREENVALE,ST,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,9/21/2015,1/14/2016,2/15/2017,"DEMO/REBUILD

PS16A102299",DEMOLITION OR MOVE PERMIT,"2801 GREENVALE ST
CHEVY CHASE, MD 20815
(38.983323, -77.057841)"
286951,Finaled,5920,,BRADLEY,BLVD,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,9/6/2002,9/25/2002,10/9/2002,CASH BOND TRACKING NO. 10445,DEMOLITION OR MOVE PERMIT,"5920 BRADLEY BLVD
BETHESDA, MD 20814
(38.993222, -77.119868)"
436811,Completed,9916,S,GLEN,RD,,ROCKVILLE,MD,20854,DEMOLISH,SINGLE FAMILY DWELLING,10/23/2006,10/23/2006,10/25/2006,FOR FINAL ONLY-SEE 318937,DEMOLITION OR MOVE PERMIT,"9916 GLEN S RD
ROCKVILLE, MD 20854
(39.027506, -77.205646)"
300448,Completed,127,,GENEVA,AVE,,SILVER SPRING,MD,20910,DEMOLISH,SINGLE FAMILY DWELLING,3/19/2003,5/13/2003,5/20/2003,CASH BOND PS3A11598,DEMOLITION OR MOVE PERMIT,"127 GENEVA AVE
SILVER SPRING, MD 20910
(38.98521, -77.00618)"
626123,Finaled,5504,,SCIOTO,RD,,BETHESDA,MD,20816,DEMOLISH,SINGLE FAMILY DWELLING,2/13/2013,4/4/2013,3/4/2014,BOND TRACKING PS13A59950,DEMOLITION OR MOVE PERMIT,"5504 SCIOTO RD
BETHESDA, MD 20816
(38.962355, -77.12921)"
242627,Open,1401,,SMITH VILLAGE,RD,,SILVER SPRING,MD,20904,DEMOLISH,SINGLE FAMILY DWELLING,3/13/2001,,,,DEMOLITION OR MOVE PERMIT,"1401 SMITH VILLAGE RD
SILVER SPRING, MD 20904
(39.072054, -76.983401)"
862724,Finaled,7107,,POMANDER,LN,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,1/7/2019,3/1/2019,3/15/2024,demolition of a detached single family home,DEMOLITION OR MOVE PERMIT,"7107 POMANDER LN
CHEVY CHASE, MD 20815
(38.980013979, -77.063658013)"
978955,Finaled,13511,,QUERY MILL,RD,,GAITHERSBURG,MD,20878,DEMOLISH,SHED,12/30/2021,1/30/2023,4/1/2024,Demo Barn and accessory structures on farm,DEMOLITION OR MOVE PERMIT,"13511 QUERY MILL RD
GAITHERSBURG, MD 20878
(39.076179009, -77.268067988)"
792820,Finaled,11201,,STEPHALEE,LN,,ROCKVILLE,MD,20852,DEMOLISH,SINGLE FAMILY DWELLING,3/16/2017,5/16/2017,6/14/2017,DEMO/REBULD,DEMOLITION OR MOVE PERMIT,"11201 STEPHALEE LN
ROCKVILLE, MD 20852
(39.039279, -77.12575)"
318162,Issued,5004,,RIVER,RD,,BETHESDA,MD,20816,MOVE,SINGLE FAMILY DWELLING,9/10/2003,3/31/2004,,,DEMOLITION OR MOVE PERMIT,"5004 RIVER RD
BETHESDA, MD 20816
(38.961779, -77.099112)"
305920,Finaled,5409,,BUTLER,RD,,BETHESDA,MD,20816,DEMOLISH,BUSINESS BUILDING,5/14/2003,7/9/2003,8/15/2003,,DEMOLITION OR MOVE PERMIT,"5409 BUTLER RD
BETHESDA, MD 20816
(38.962022, -77.103636)"
784110,Completed,9508,,MILSTEAD,DR,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,12/19/2016,2/1/2017,2/24/2017,DEMO,DEMOLITION OR MOVE PERMIT,"9508 MILSTEAD DR
BETHESDA, MD 20817
(39.011132, -77.12174)"
568502,Completed,11111,,KENILWORTH,AVE,,GARRETT PARK,MD,20896,DEMOLISH,SINGLE FAMILY DWELLING,5/16/2011,7/28/2011,3/12/2012,"Demo/Rebuild
Cash Bond PS11A45254",DEMOLITION OR MOVE PERMIT,"11111 KENILWORTH AVE
GARRETT PARK, MD 20896
(39.039085, -77.097288)"
661670,Completed,6511,,78TH,ST,,CABIN JOHN,MD,20818,DEMOLISH,SINGLE FAMILY DWELLING,1/29/2014,3/19/2014,1/13/2015,DEMO/REBUILD,DEMOLITION OR MOVE PERMIT,"6511 78TH ST
CABIN JOHN, MD 20818
(38.974945, -77.159939)"
328774,Completed,4326,,ROSEDALE,AVE,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,1/2/2004,3/9/2004,5/7/2004,,DEMOLITION OR MOVE PERMIT,"4326 ROSEDALE AVE
BETHESDA, MD 20814
(38.992895, -77.087276)"
903249,Completed,9006,,SPRING HILL,LN,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,1/27/2020,3/9/2020,3/24/2020,,DEMOLITION OR MOVE PERMIT,"9006 SPRING HILL LN
CHEVY CHASE, MD 20815
(39.004054, -77.070104)"
1004106,Completed,14100,,QUINCE ORCHARD,RD,,GAITHERSBURG,MD,20878,DEMOLISH,SINGLE FAMILY DWELLING,8/18/2022,11/8/2022,2/3/2023,,DEMOLITION OR MOVE PERMIT,"14100 QUINCE ORCHARD RD
GAITHERSBURG, MD 20878
(39.086338002, -77.250670007)"
217695,Completed,8820,,EGGERT,DR,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,4/28/2000,7/20/2000,5/24/2001,TRACKING NO. 7542,DEMOLITION OR MOVE PERMIT,"8820 EGGERT DR
BETHESDA, MD 20817
(38.977193, -77.181753)"
394233,Completed,9503,,PAGE,AVE,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,8/12/2005,10/20/2005,12/14/2005,PS6A25179,DEMOLITION OR MOVE PERMIT,"9503 PAGE AVE
BETHESDA, MD 20814
(39.012407, -77.11094)"
594816,Completed,4835,,LELAND,ST,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,3/29/2012,9/20/2012,10/25/2012,DEMOLITION/REBUILD,DEMOLITION OR MOVE PERMIT,"4835 LELAND ST
BETHESDA, MD 20814
(38.979297, -77.096124)"
435501,Completed,11216,,MONTICELLO,AVE,,SILVER SPRING,MD,20902,DEMOLISH,SINGLE FAMILY DWELLING,10/9/2006,11/29/2006,12/8/2006,demolition/rebuild,DEMOLITION OR MOVE PERMIT,"11216 MONTICELLO AVE
SILVER SPRING, MD 20902
(39.040762, -77.027592)"
427506,Completed,7109,,44TH,ST,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,7/17/2006,10/9/2006,3/27/2007,demo/rebuild  Cash Bond PS7A32543,DEMOLITION OR MOVE PERMIT,"7109 44TH ST
CHEVY CHASE, MD 20815
(38.981507, -77.088466)"
687676,Finaled,7812,,DERWOOD,ST,,ROCKVILLE,MD,20855,DEMOLISH,SINGLE FAMILY DWELLING,9/12/2014,10/1/2014,12/31/2014,"DEMO

BOND TRACKING PS15A83190",DEMOLITION OR MOVE PERMIT,"7812 DERWOOD ST
ROCKVILLE, MD 20855
(39.117324, -77.159467)"
810158,Completed,5106,,SARATOGA,AVE,,BETHESDA,MD,20816,DEMOLISH,SINGLE FAMILY DWELLING,8/15/2017,10/26/2017,12/19/2017,DEMOLITION/REBUILD,DEMOLITION OR MOVE PERMIT,"5106 SARATOGA AVE
BETHESDA, MD 20816
(38.958185, -77.097191)"
711329,Finaled,8919,,RIDGE,PL,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,5/4/2015,6/17/2015,1/7/2016,demolition/rebuild,DEMOLITION OR MOVE PERMIT,"8919 RIDGE PL
BETHESDA, MD 20817
(39.002885, -77.125677)"
398033,Completed,6901,,BARRETT,LN,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,9/19/2005,11/18/2005,9/3/2009,PS6A26047,DEMOLITION OR MOVE PERMIT,"6901 BARRETT LN
BETHESDA, MD 20814
(38.978412, -77.107664)"
657449,Open,7210,,DELFIELD,ST,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,12/9/2013,,,,DEMOLITION OR MOVE PERMIT,"7210 DELFIELD ST
CHEVY CHASE, MD 20815
(38.981966, -77.068888)"
955883,Completed,6302,,LONE OAK,DR,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,6/10/2021,8/5/2021,5/12/2022,,DEMOLITION OR MOVE PERMIT,"6302 LONE OAK DR
BETHESDA, MD 20817
(39.020151, -77.126983)"
940578,Completed,8916,,CHARRED OAK,DR,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,1/29/2021,3/18/2021,6/2/2022,,DEMOLITION OR MOVE PERMIT,"8916 CHARRED OAK DR
BETHESDA, MD 20817
(39.003221, -77.161766)"
969842,Completed,7210,,EXETER,RD,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,10/7/2021,2/1/2022,3/17/2022,,DEMOLITION OR MOVE PERMIT,"7210 EXETER RD
BETHESDA, MD 20814
(38.982717, -77.103139)"
397574,Completed,13814,,TRAVILAH,RD,,GAITHERSBURG,MD,20878,DEMOLISH,SINGLE FAMILY DWELLING,9/14/2005,9/26/2005,10/10/2005,DEMOLITION OF SINGLE FAMILY DWELLING,DEMOLITION OR MOVE PERMIT,"13814 TRAVILAH RD
GAITHERSBURG, MD 20878
(39.082137, -77.23466)"
426333,Open,5120,,WISSIOMING,RD,,BETHESDA,MD,20816,DEMOLISH,SINGLE FAMILY DWELLING,7/5/2006,,,Addition had to come in as a new home with a demo,DEMOLITION OR MOVE PERMIT,"5120 WISSIOMING RD
BETHESDA, MD 20816
(38.957722, -77.127516)"
842717,Open,,,,,,,,,DEMOLISH,BUSINESS BUILDING,6/26/2018,,,DEMO OF 8 BUILDINGS 6 TO GRADE OTHER 2 COMPLETE DEMO,DEMOLITION OR MOVE PERMIT,
947677,Completed,5703,,MAIDEN,LN,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,4/1/2021,6/3/2021,6/23/2021,,DEMOLITION OR MOVE PERMIT,"5703 MAIDEN LN
BETHESDA, MD 20817
(38.986138, -77.11632)"
540008,Completed,4300,,LYNBROOK,DR,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,6/8/2010,6/29/2010,9/29/2010,Cash Bond PS10A42769,DEMOLITION OR MOVE PERMIT,"4300 LYNBROOK DR
BETHESDA, MD 20814
(38.987889, -77.08639)"
826366,Completed,20646,,NEW HAMPSHIRE,AVE,,BROOKEVILLE,MD,20833,DEMOLISH,SINGLE FAMILY DWELLING,1/29/2018,2/9/2018,4/27/2018,DEMO/REBUILD,DEMOLITION OR MOVE PERMIT,"20646 NEW HAMPSHIRE AVE
BROOKEVILLE, MD 20833
(39.19574, -77.025587)"
965047,Finaled,4525,,CHELTENHAM,DR,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,8/26/2021,11/19/2021,1/25/2022,,DEMOLITION OR MOVE PERMIT,"4525 CHELTENHAM DR
BETHESDA, MD 20814
(38.988615, -77.091323)"
364498,Completed,4423,,WALSH,ST,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,11/8/2004,4/4/2005,10/24/2005,,DEMOLITION OR MOVE PERMIT,"4423 WALSH ST
CHEVY CHASE, MD 20815
(38.979531, -77.089536)"
392449,Completed,7110,,GEORGIA,ST,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,8/1/2005,9/14/2005,10/3/2005,,DEMOLITION OR MOVE PERMIT,"7110 GEORGIA ST
CHEVY CHASE, MD 20815
(38.981871, -77.072525)"
367804,Finaled,6002,,HENNING,ST,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,12/13/2004,2/23/2005,3/22/2005,,DEMOLITION OR MOVE PERMIT,"6002 HENNING ST
BETHESDA, MD 20817
(39.004184, -77.121214)"
592226,Finaled,15815,,GOOD HOPE,RD,,SILVER SPRING,MD,20905,DEMOLISH,SINGLE FAMILY DWELLING,2/28/2012,10/24/2012,11/1/2013,Single family dwelling-Will not be rebuilding,DEMOLITION OR MOVE PERMIT,"15815 GOOD HOPE RD
SILVER SPRING, MD 20905
(39.11508, -76.97787)"
619730,Finaled,5615,,DURBIN,RD,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,12/4/2012,1/15/2013,2/15/2013,"DEMO / REBUILD

BOND TRACKING PS13A55632",DEMOLITION OR MOVE PERMIT,"5615 DURBIN RD
BETHESDA, MD 20814
(38.98381, -77.113841)"
722438,Completed,8612,,RIDGE,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,7/30/2015,11/10/2015,1/27/2016,"Rebuild

BOND TRACKING PS16A101752",DEMOLITION OR MOVE PERMIT,"8612 RIDGE RD
BETHESDA, MD 20817
(38.997285, -77.125107)"
220812,Completed,8516,,GEORGIA,AVE,,SILVER SPRING,MD,20910,DEMOLISH,"ASSEMBLY, RESTAURANTS",6/7/2000,6/16/2000,10/5/2000,"Green Tape   Partial demolition of Tastee Diner.  Relocation of the historic cab and separate partial demolition of the building on this site are covered under separate A/P #220298.  A third demolition permit for this site will be required for the removal of the foundation, which is scheduled to occur in October, 2000.",DEMOLITION OR MOVE PERMIT,"8516 GEORGIA AVE
SILVER SPRING, MD 20910
(38.994806, -77.027056)"
680934,Finaled,8000,,MAPLE RIDGE,RD,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,7/18/2014,10/29/2014,12/31/2015,Rebuild,DEMOLITION OR MOVE PERMIT,"8000 MAPLE RIDGE RD
BETHESDA, MD 20814
(38.989707, -77.106589)"
443760,Issued,3302,,WINNETT,RD,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,1/24/2007,2/27/2007,,,DEMOLITION OR MOVE PERMIT,"3302 WINNETT RD
CHEVY CHASE, MD 20815
(38.980985, -77.064783)"
575943,Completed,10009,,FREDERICK,AVE,,KENSINGTON,MD,20895,DEMOLISH,GARAGE,8/1/2011,8/15/2011,8/19/2011,Demolish Detached Garage,DEMOLITION OR MOVE PERMIT,"10009 FREDERICK AVE
KENSINGTON, MD 20895
(39.019819, -77.072811)"
699359,Completed,8211,,CUSTER,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,12/30/2014,3/23/2015,8/5/2015,Demolition/rebuild,DEMOLITION OR MOVE PERMIT,"8211 CUSTER RD
BETHESDA, MD 20817
(38.99313, -77.109441)"
712666,Finaled,5021,,NEWPORT,AVE,,BETHESDA,MD,20816,DEMOLISH,SINGLE FAMILY DWELLING,5/14/2015,7/7/2015,2/22/2016,Rebuild,DEMOLITION OR MOVE PERMIT,"5021 NEWPORT AVE
BETHESDA, MD 20816
(38.956568, -77.099598)"
405388,Completed,13401,,DOGWOOD,DR,,SILVER SPRING,MD,20904,DEMOLISH,SINGLE FAMILY DWELLING,12/1/2005,1/5/2006,1/30/2006,Demo/rebuild-Cash Bond PS6A27645,DEMOLITION OR MOVE PERMIT,"13401 DOGWOOD DR
SILVER SPRING, MD 20904
(39.076363, -76.936897)"
377628,Completed,14065,,TRAVILAH,RD,,ROCKVILLE,MD,20850,DEMOLISH,SINGLE FAMILY DWELLING,3/24/2005,4/18/2008,5/13/2008,,DEMOLITION OR MOVE PERMIT,"14065 TRAVILAH RD
ROCKVILLE, MD 20850
(39.085391, -77.22341)"
223942,Finaled,4209,,COLCHESTER,DR,,KENSINGTON,MD,20895,DEMOLISH,SINGLE FAMILY DWELLING,7/13/2000,9/15/2000,12/4/2000,,DEMOLITION OR MOVE PERMIT,"4209 COLCHESTER DR
KENSINGTON, MD 20895
(39.027139, -77.081729)"
665288,Completed,10211,,CHAPEL,RD,,POTOMAC,MD,20854,DEMOLISH,SINGLE FAMILY DWELLING,3/7/2014,5/9/2014,7/31/2014,DEMO/REBUILD,DEMOLITION OR MOVE PERMIT,"10211 CHAPEL RD
POTOMAC, MD 20854
(39.026078, -77.208972)"
452699,Completed,3501,,RAYMOND,ST,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,5/7/2007,8/21/2007,11/30/2007,Demolition/rebuild-Cash bond PS7A36919,DEMOLITION OR MOVE PERMIT,"3501 RAYMOND ST
CHEVY CHASE, MD 20815
(38.976868, -77.068742)"
266126,Finaled,9007,,EWING,DR,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,12/21/2001,1/8/2002,2/25/2002,,DEMOLITION OR MOVE PERMIT,"9007 EWING DR
BETHESDA, MD 20817
(39.00368, -77.123295)"
782765,Completed,7508,,HAMPDEN,LN,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,12/7/2016,1/13/2017,8/4/2017,demolition of a single family home. new home building permit to be submitted.,DEMOLITION OR MOVE PERMIT,"7508 HAMPDEN LN
BETHESDA, MD 20814
(38.984743, -77.10916)"
365837,Open,9500,,HEMSWELL,PL,,POTOMAC,MD,20854,DEMOLISH,SINGLE FAMILY DWELLING,11/19/2004,,,Building 365830  PS520120,DEMOLITION OR MOVE PERMIT,"9500 HEMSWELL PL
POTOMAC, MD 20854
(39.018667, -77.173589)"
962331,Finaled,8512,,HORSESHOE,LN,,POTOMAC,MD,20854,DEMOLISH,SINGLE FAMILY DWELLING,8/4/2021,11/15/2021,3/7/2024,,DEMOLITION OR MOVE PERMIT,"8512 HORSESHOE LN
POTOMAC, MD 20854
(38.995087994, -77.212295978)"
488179,Completed,7104,,FAIRFAX,RD,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,6/19/2008,9/4/2008,8/27/2009,Rebuild,DEMOLITION OR MOVE PERMIT,"7104 FAIRFAX RD
BETHESDA, MD 20814
(38.979914, -77.103454)"
475316,Completed,5135,,FAIRGLEN,LN,,CHEVY CHASE,MD,20815,DEMOLISH,SINGLE FAMILY DWELLING,1/7/2008,2/20/2008,3/26/2008,"Demolition of single family house and garage/Rebuild single family
Cash Bond PS8A38528",DEMOLITION OR MOVE PERMIT,"5135 FAIRGLEN LN
CHEVY CHASE, MD 20815
(38.976487, -77.104354)"
806048,Completed,8118,,OLD GEORGETOWN,RD,,BETHESDA,MD,20814,DEMOLISH,GARAGE,7/11/2017,8/2/2017,8/24/2017,Demo DETACHED GARAGE (Residential)&nbsp;- Not Replacing.,DEMOLITION OR MOVE PERMIT,"8118 OLD GEORGETOWN RD
BETHESDA, MD 20814
(38.991159, -77.104877)"
832800,Completed,8625,,ZETTS,AVE,,GAITHERSBURG,MD,20877,DEMOLISH,BUSINESS BUILDING,4/4/2018,5/3/2018,6/12/2018,Two Commercial Units (8625 &amp; 8629) combined into ONE at the primary address as 8625 Zetts - (NO INTENTIONS to RE-BUILD),DEMOLITION OR MOVE PERMIT,"8625 ZETTS AVE
GAITHERSBURG, MD 20877
(39.121127, -77.178304)"
441771,Completed,14120,,DARNESTOWN,RD,,GERMANTOWN,MD,20874,DEMOLISH,BUSINESS BUILDING,12/27/2006,6/5/2007,9/6/2007,Demolition/Rebuild,DEMOLITION OR MOVE PERMIT,"14120 DARNESTOWN RD
GERMANTOWN, MD 20874
(39.104031, -77.292974)"
530753,Finaled,12705,,CIRCLE,DR,,ROCKVILLE,MD,20850,DEMOLISH,SINGLE FAMILY DWELLING,2/5/2010,4/9/2010,6/18/2010,"demolition/rebuild
BOND TRACKING #PS10A42452",DEMOLITION OR MOVE PERMIT,"12705 CIRCLE DR
ROCKVILLE, MD 20850
(39.064243, -77.20337)"
384614,Completed,5920,,WALHONDING,RD,,BETHESDA,MD,20816,DEMOLISH,SINGLE FAMILY DWELLING,5/24/2005,8/2/2005,10/5/2006,Performance Bond-Tracking NO. 23891,DEMOLITION OR MOVE PERMIT,"5920 WALHONDING RD
BETHESDA, MD 20816
(38.962566, -77.120824)"
431112,Completed,11414,,ROCKVILLE,PIKE,,ROCKVILLE,MD,20852,DEMOLISH,HOTEL,8/23/2006,12/26/2006,11/9/2009,Demolition/rebuild--Performance Bond-Tracking No. 33371,DEMOLITION OR MOVE PERMIT,"11414 ROCKVILLE PIKE
ROCKVILLE, MD 20852
(39.042756, -77.110923)"
790122,Completed,9710,,GREAT SENECA,HWY,,ROCKVILLE,MD,20850,DEMOLISH,BUSINESS BUILDING,2/21/2017,4/3/2017,4/4/2018,DEMOLITION OF PUBLIC SAFETY TRAINING FACILITY TO INCLUDE MULTIPLE ADDITIONAL BUILDINGS ON SAME SITE,DEMOLITION OR MOVE PERMIT,"9710 GREAT SENECA HWY
ROCKVILLE, MD 20850
(39.101162, -77.20546)"
735307,Completed,5911,,JARVIS,LN,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,11/6/2015,2/26/2016,4/19/2016,Demolition/rebuild,DEMOLITION OR MOVE PERMIT,"5911 JARVIS LN
BETHESDA, MD 20814
(39.017678, -77.119223)"
